Guid_interface	Guid_class	class_name	implement_interfaces	members
184CD217-3505-45AE-AEAB-2575733E2509	ECCFDB25-49A7-406B-8ACA-66C2760E5DDE	NCDK.QSAR.Descriptors.Moleculars.HBondDonorCountDescriptor	IMolecularDescriptor	DescriptorValue Calculate(IAtomContainer atomContainer);
C4F5E996-C825-4DF2-9842-67132B1B48F6	486DB6CB-3A43-45D1-8BF2-B8D3989789FA	NCDK.QSAR.Descriptors.Moleculars.HybridizationRatioDescriptor	IMolecularDescriptor	DescriptorValue Calculate(IAtomContainer atomContainer);
F6130C45-2C03-41FA-95A4-DB8B19081DB9	685B1E44-D743-461E-9B84-8DD505D8B0D0	NCDK.QSAR.Descriptors.Moleculars.KappaShapeIndicesDescriptor	IMolecularDescriptor	DescriptorValue Calculate(IAtomContainer atomContainer);
B3641A1D-4FAE-4320-946C-A498C75B87A4	6D2B0A5D-EADC-4B48-ABFB-E137F4B2F51F	NCDK.QSAR.Descriptors.Moleculars.KierHallSmartsDescriptor	IMolecularDescriptor	DescriptorValue Calculate(IAtomContainer atomContainer);
F1A8385C-4364-4E6B-A8CD-810393BF2CEA	D6D6F7A3-8B72-41B3-8DB9-404065CC1437	NCDK.QSAR.Descriptors.Moleculars.LargestChainDescriptor	IMolecularDescriptor	DescriptorValue Calculate(IAtomContainer atomContainer);
0C01A7F5-6508-400A-8437-F821C451088E	C57F6597-BD72-4148-BCFA-D05A3753510E	NCDK.QSAR.Descriptors.Moleculars.LargestPiSystemDescriptor	IMolecularDescriptor	DescriptorValue Calculate(IAtomContainer atomContainer);
72F7F73D-BD8E-439B-97E2-6AA5EC4D14C5	F612A06E-7818-4D20-96D2-63105D04082B	NCDK.QSAR.Descriptors.Moleculars.LengthOverBreadthDescriptor	IMolecularDescriptor	DescriptorValue Calculate(IAtomContainer atomContainer);
07014CB4-DDFB-4EDF-B4C5-7910C7884A55	496D4787-8E32-4DF4-9F4A-F27A22662150	NCDK.QSAR.Descriptors.Moleculars.LongestAliphaticChainDescriptor	IMolecularDescriptor	DescriptorValue Calculate(IAtomContainer atomContainer);
3B438F2D-D937-4312-A23D-FDE53A4F8B14	789D5541-AF14-42C4-9FE4-C25DEE8C6C35	NCDK.QSAR.Descriptors.Moleculars.MannholdLogPDescriptor	IMolecularDescriptor	DescriptorValue Calculate(IAtomContainer atomContainer);
543DB0EF-BCF5-4A34-9EF6-B773D0E4641E	C322BD15-0524-4752-BE85-C6690A99A976	NCDK.QSAR.Descriptors.Moleculars.MDEDescriptor	IMolecularDescriptor	DescriptorValue Calculate(IAtomContainer atomContainer);
88B0C32A-A58F-406B-A7BC-03AFD9D02307	0EA8CCF0-6BF1-4DAB-8240-1B5AF64AA934	NCDK.QSAR.Descriptors.Moleculars.MomentOfInertiaDescriptor	IMolecularDescriptor	DescriptorValue Calculate(IAtomContainer atomContainer);
9EB2FADF-F696-4F56-BEB1-634228E9CE60	D5732DE7-A677-4474-95D2-24AB6DF3E233	NCDK.QSAR.Descriptors.Moleculars.PetitjeanNumberDescriptor	IMolecularDescriptor	DescriptorValue Calculate(IAtomContainer atomContainer);
0ECD919F-A3DC-4AD8-BAB7-D0148588025A	FA1CD861-2DF0-47AB-8C9F-2F2C424DD4F3	NCDK.QSAR.Descriptors.Moleculars.PetitjeanShapeIndexDescriptor	IMolecularDescriptor	DescriptorValue Calculate(IAtomContainer atomContainer);
A9B89A02-D6E1-4CC8-8386-BD7B842F04AA	A7AACBE5-E75C-475A-AF2C-94F99A3C30AD	NCDK.QSAR.Descriptors.Moleculars.RotatableBondsCountDescriptor	IMolecularDescriptor	DescriptorValue Calculate(IAtomContainer atomContainer);
0A8A7BEB-475E-482E-8A75-1EC1F8391C43	5B964D88-16B2-46E3-B44C-2ECE3022200C	NCDK.QSAR.Descriptors.Moleculars.RuleOfFiveDescriptor	IMolecularDescriptor	DescriptorValue Calculate(IAtomContainer atomContainer);
DBB8C01C-B7EF-4D1A-BD74-47839CA5BB15	E7910BC5-C6C1-4889-AD0B-9BCF7E887486	NCDK.QSAR.Descriptors.Moleculars.SmallRingDescriptor	IMolecularDescriptor	DescriptorValue Calculate(IAtomContainer atomContainer);
EA18AB9C-5C7C-4675-9006-42703D5ADCD2	F6FE69D4-E10E-4997-B355-45E2A9914826	NCDK.QSAR.Descriptors.Moleculars.TPSADescriptor	IMolecularDescriptor	DescriptorValue Calculate(IAtomContainer atomContainer);
DE8E4ADA-AF09-4EE7-9413-B00F5F3EAE8A	67F2C7B9-A129-4284-AECE-F483146D180E	NCDK.QSAR.Descriptors.Moleculars.VABCDescriptor	IMolecularDescriptor	DescriptorValue Calculate(IAtomContainer atomContainer);
B51E04D7-965B-49EB-8550-7ECC4AD6E3A0	28EE6422-847C-4B93-AEE6-CF35951D1701	NCDK.QSAR.Descriptors.Moleculars.VAdjMaDescriptor	IMolecularDescriptor	DescriptorValue Calculate(IAtomContainer atomContainer);
A4C53E6D-794C-4DD6-AFB1-25B59E431DC6	0CFD74E4-4954-44D9-8BA0-3244A0AA31DE	NCDK.QSAR.Descriptors.Moleculars.WeightDescriptor	IMolecularDescriptor	DescriptorValue Calculate(IAtomContainer atomContainer);
3B87D319-EF78-4DA7-A28D-1DF4E90B0A02	3DB2A54C-FF70-4EFE-97A5-101915B45AEB	NCDK.QSAR.Descriptors.Moleculars.WeightedPathDescriptor	IMolecularDescriptor	DescriptorValue Calculate(IAtomContainer atomContainer);
88084E7D-CB12-446A-B43B-327D48661800	C32F991E-3E67-4B5D-B400-E0D681A1B873	NCDK.QSAR.Descriptors.Moleculars.WHIMDescriptor	IMolecularDescriptor	DescriptorValue Calculate(IAtomContainer atomContainer);
B7DAEA62-FC3B-4022-AFF4-6CFC9A0287A7	76FE3CA2-0F87-4DE7-83AD-139DEF96041F	NCDK.QSAR.Descriptors.Moleculars.WienerNumbersDescriptor	IMolecularDescriptor	DescriptorValue Calculate(IAtomContainer atomContainer);
D3D34DBE-618C-46E3-AFBD-D216028BCA4F	A4C6C4EC-77C6-4D20-B129-7AB291641B00	NCDK.QSAR.Descriptors.Moleculars.XLogPDescriptor	IMolecularDescriptor	DescriptorValue Calculate(IAtomContainer atomContainer);
C07724E2-BD3E-4EF9-8EF9-08E55E4F8973	5E98C730-AF19-4F5B-88BC-C91C2CC29579	NCDK.QSAR.Descriptors.Moleculars.ZagrebIndexDescriptor	IMolecularDescriptor	DescriptorValue Calculate(IAtomContainer atomContainer);
ECB38294-A140-4566-96D1-66DFB14E050B		NCDK.QSAR.DescriptorValue		
3FF6093F-CAFB-48F3-BAA1-69D5549CC720		NCDK.QSAR.IDescriptor		
124390C0-5C97-4351-800B-D27A31130D70		NCDK.QSAR.IMolecularDescriptor		DescriptorValue Calculate(IAtomContainer container);
CDA53F1A-F685-439B-A8D5-2D18CCB5885D	B2857083-3145-41CA-8A53-14E70064F794	NCDK.Smiles.SmilesGenerator		string Create(IAtomContainer molecule); Create(IAtomContainer molecule);
D4CFC8BC-C66E-49CF-B3CC-14F437406955		NCDK.Smiles.SmilesParser		IAtomContainer ParseSmiles(string smiles);
